Inputs,Map Used: map.txt,Simulation Time: 200,neighbourhood_option: 0,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50,,,,
 ,Breeding Cooldown,1000,600,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,70,70,80,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,4,4,15,,,,,
2,4,4,15,,,,,
3,4,4,15,,,,,
4,4,4,15,,,,,
5,4,4,15,,,,,
6,4,4,15,,,,,
7,4,4,15,,,,,
8,4,4,15,,,,,
9,4,4,15,,,,,
10,4,4,16,,,,,
11,4,4,15,,,,,
12,4,4,17,,,,,
13,4,4,16,,,,,
14,4,4,17,,,,,
15,4,4,18,,,,,
16,4,4,19,,,,,
17,4,4,19,,,,,
18,4,4,19,,,,,
19,4,4,19,,,,,
20,3,4,21,,,,,
21,3,4,20,,,,,
22,3,4,22,,,,,
23,3,4,23,,,,,
24,3,4,20,,,,,
25,3,4,18,,,,,
26,3,4,16,,,,,
27,3,4,11,,,,,
28,3,4,10,,,,,
29,3,4,9,,,,,
30,3,4,8,,,,,
31,3,4,7,,,,,
32,3,4,7,,,,,
33,3,4,7,,,,,
34,3,4,6,,,,,
35,2,4,6,,,,,
36,2,3,5,,,,,
37,2,3,3,,,,,
38,2,3,3,,,,,
39,3,3,1,,,,,
40,2,3,1,,,,,
41,2,3,1,,,,,
42,2,3,1,,,,,
43,2,3,1,,,,,
44,2,3,1,,,,,
45,2,3,1,,,,,
46,2,3,1,,,,,
47,2,3,1,,,,,
48,2,3,1,,,,,
49,2,3,1,,,,,
50,2,3,1,,,,,
51,2,3,0,,,,,
52,2,2,0,,,,,
53,2,2,0,,,,,
54,2,2,0,,,,,
55,2,1,0,,,,,
56,2,1,0,,,,,
57,2,1,0,,,,,
58,2,0,0,,,,,
59,0,0,0,,,,,
60,0,0,0,,,,,
61,0,0,0,,,,,
62,0,0,0,,,,,
63,0,0,0,,,,,
64,0,0,0,,,,,
65,0,0,0,,,,,
66,0,0,0,,,,,
67,0,0,0,,,,,
68,0,0,0,,,,,
69,0,0,0,,,,,
70,0,0,0,,,,,
71,0,0,0,,,,,
72,0,0,0,,,,,
73,0,0,0,,,,,
74,0,0,0,,,,,
75,0,0,0,,,,,
76,0,0,0,,,,,
77,0,0,0,,,,,
78,0,0,0,,,,,
79,0,0,0,,,,,
80,0,0,0,,,,,
81,0,0,0,,,,,
82,0,0,0,,,,,
83,0,0,0,,,,,
84,0,0,0,,,,,
85,0,0,0,,,,,
86,0,0,0,,,,,
87,0,0,0,,,,,
88,0,0,0,,,,,
89,0,0,0,,,,,
90,0,0,0,,,,,
91,0,0,0,,,,,
92,0,0,0,,,,,
93,0,0,0,,,,,
94,0,0,0,,,,,
95,0,0,0,,,,,
96,0,0,0,,,,,
97,0,0,0,,,,,
98,0,0,0,,,,,
99,0,0,0,,,,,
100,0,0,0,,,,,
101,0,0,0,,,,,
102,0,0,0,,,,,
103,0,0,0,,,,,
104,0,0,0,,,,,
105,0,0,0,,,,,
106,0,0,0,,,,,
107,0,0,0,,,,,
108,0,0,0,,,,,
109,0,0,0,,,,,
110,0,0,0,,,,,
111,0,0,0,,,,,
112,0,0,0,,,,,
113,0,0,0,,,,,
114,0,0,0,,,,,
115,0,0,0,,,,,
116,0,0,0,,,,,
117,0,0,0,,,,,
118,0,0,0,,,,,
119,0,0,0,,,,,
120,0,0,0,,,,,
121,0,0,0,,,,,
122,0,0,0,,,,,
123,0,0,0,,,,,
124,0,0,0,,,,,
