Inputs,Map used: map.txt,Simulation Time: 150,neighbourhood_option: 0,Lions: 5,Wolves: 8,Rabbits: 20,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,150,80,70,,,,
 ,Breeding Cooldown,1000,600,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,50,50,50,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,5,8,20,,,,,
2,5,8,22,,,,,
3,5,8,23,,,,,
4,5,8,22,,,,,
5,5,8,22,,,,,
6,5,8,21,,,,,
7,5,8,22,,,,,
8,5,8,22,,,,,
9,5,8,23,,,,,
10,5,8,26,,,,,
11,5,8,27,,,,,
12,5,8,28,,,,,
13,5,8,28,,,,,
14,5,8,28,,,,,
15,5,8,30,,,,,
16,5,8,32,,,,,
17,5,5,35,,,,,
18,5,5,36,,,,,
19,5,5,37,,,,,
20,5,5,40,,,,,
21,5,4,44,,,,,
22,5,4,46,,,,,
23,5,3,47,,,,,
24,5,3,51,,,,,
25,5,3,52,,,,,
26,5,3,53,,,,,
27,5,3,55,,,,,
28,5,3,54,,,,,
29,5,3,55,,,,,
30,5,4,52,,,,,
31,5,4,53,,,,,
32,5,4,54,,,,,
33,5,4,57,,,,,
34,5,4,60,,,,,
35,5,4,59,,,,,
36,5,4,60,,,,,
37,5,4,63,,,,,
38,5,4,63,,,,,
39,5,4,65,,,,,
40,5,4,65,,,,,
41,5,4,69,,,,,
42,5,4,70,,,,,
43,5,4,72,,,,,
44,5,4,74,,,,,
45,5,4,73,,,,,
46,5,4,75,,,,,
47,5,4,76,,,,,
48,5,4,75,,,,,
49,5,4,75,,,,,
50,4,6,71,,,,,
51,4,6,71,,,,,
52,4,6,71,,,,,
53,4,6,73,,,,,
54,4,6,69,,,,,
55,4,6,71,,,,,
56,4,7,68,,,,,
57,4,8,69,,,,,
58,4,9,66,,,,,
59,4,9,59,,,,,
60,4,9,53,,,,,
61,4,9,48,,,,,
62,4,9,48,,,,,
63,4,10,49,,,,,
64,4,10,49,,,,,
65,4,10,49,,,,,
66,4,10,51,,,,,
67,4,9,51,,,,,
68,4,9,53,,,,,
69,4,9,56,,,,,
70,4,11,59,,,,,
71,4,12,61,,,,,
72,4,12,64,,,,,
73,4,12,65,,,,,
74,4,13,65,,,,,
75,4,12,61,,,,,
76,4,12,62,,,,,
77,4,12,63,,,,,
78,3,12,65,,,,,
79,3,13,65,,,,,
80,3,10,66,,,,,
81,3,10,63,,,,,
82,3,10,73,,,,,
83,3,10,72,,,,,
84,3,10,68,,,,,
85,3,10,67,,,,,
86,3,12,66,,,,,
87,3,12,61,,,,,
88,3,13,56,,,,,
89,3,13,53,,,,,
90,3,13,51,,,,,
91,3,12,49,,,,,
92,3,12,48,,,,,
93,3,12,46,,,,,
94,3,13,47,,,,,
95,3,13,48,,,,,
96,3,13,40,,,,,
97,3,14,37,,,,,
98,3,14,35,,,,,
99,3,14,31,,,,,
100,3,16,30,,,,,
101,3,16,31,,,,,
102,3,16,30,,,,,
103,3,15,32,,,,,
104,3,16,34,,,,,
105,3,14,35,,,,,
106,3,14,35,,,,,
107,3,14,36,,,,,
108,3,14,37,,,,,
109,3,14,35,,,,,
110,3,13,38,,,,,
111,2,12,37,,,,,
112,2,12,42,,,,,
113,2,11,38,,,,,
114,2,11,41,,,,,
115,2,12,42,,,,,
116,2,12,44,,,,,
117,2,10,47,,,,,
118,2,10,50,,,,,
119,2,10,53,,,,,
120,2,10,51,,,,,
121,2,11,53,,,,,
122,2,12,50,,,,,
123,2,12,51,,,,,
124,2,13,50,,,,,
125,2,12,48,,,,,
126,2,12,45,,,,,
127,2,12,43,,,,,
128,2,12,42,,,,,
129,2,13,35,,,,,
130,1,13,37,,,,,
131,1,15,35,,,,,
132,1,15,38,,,,,
133,1,15,37,,,,,
134,1,16,34,,,,,
135,1,17,31,,,,,
136,1,17,29,,,,,
137,1,17,28,,,,,
138,1,17,28,,,,,
139,1,16,29,,,,,
140,1,16,32,,,,,
141,1,15,33,,,,,
142,1,16,31,,,,,
143,1,16,34,,,,,
144,1,17,34,,,,,
145,1,17,37,,,,,
146,1,13,39,,,,,
147,1,12,42,,,,,
148,1,10,41,,,,,
149,1,10,43,,,,,
150,0,9,44,,,,,
