Inputs,Map used: map_2.txt,Simulation Time: 150,neighbourhood_option: 0,Lions: 5,Wolves: 8,Rabbits: 20,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,150,80,70,,,,
 ,Breeding Cooldown,600,300,100,,,,
 , Mating Threshold,80,85,95,,,,
 ,Hunger Threshold,50,50,50,,,,
 ,Thirst Threshold,80,80,80,,,,
Iterations,Number of Lions,Number of Wolves,Number of Rabbits,,,,,
1,5,8,20,,,,,
2,5,8,22,,,,,
3,5,8,22,,,,,
4,5,8,24,,,,,
5,5,8,24,,,,,
6,5,8,23,,,,,
7,5,8,21,,,,,
8,5,7,16,,,,,
9,5,7,13,,,,,
10,5,8,11,,,,,
11,5,7,9,,,,,
12,5,7,9,,,,,
13,5,8,9,,,,,
14,6,8,6,,,,,
15,6,8,6,,,,,
16,6,8,4,,,,,
17,6,8,4,,,,,
18,6,8,5,,,,,
19,5,8,4,,,,,
20,4,8,4,,,,,
21,2,7,4,,,,,
22,2,7,4,,,,,
23,1,7,3,,,,,
24,1,7,0,,,,,
25,1,7,0,,,,,
26,1,8,0,,,,,
27,1,8,0,,,,,
28,1,8,0,,,,,
29,1,8,0,,,,,
30,1,9,0,,,,,
31,1,10,0,,,,,
32,1,10,0,,,,,
33,1,10,0,,,,,
34,1,10,0,,,,,
35,1,10,0,,,,,
36,0,10,0,,,,,
37,0,10,0,,,,,
38,0,10,0,,,,,
39,0,10,0,,,,,
40,0,10,0,,,,,
41,0,10,0,,,,,
42,0,10,0,,,,,
43,0,10,0,,,,,
44,0,10,0,,,,,
45,0,11,0,,,,,
46,0,11,0,,,,,
47,0,11,0,,,,,
48,0,11,0,,,,,
49,0,11,0,,,,,
50,0,11,0,,,,,
51,0,11,0,,,,,
52,0,12,0,,,,,
53,0,13,0,,,,,
54,0,13,0,,,,,
55,0,13,0,,,,,
56,0,13,0,,,,,
57,0,13,0,,,,,
58,0,13,0,,,,,
59,0,14,0,,,,,
60,0,14,0,,,,,
61,0,14,0,,,,,
62,0,14,0,,,,,
63,0,14,0,,,,,
64,0,15,0,,,,,
65,0,15,0,,,,,
66,0,15,0,,,,,
67,0,15,0,,,,,
68,0,15,0,,,,,
69,0,15,0,,,,,
70,0,15,0,,,,,
71,0,15,0,,,,,
72,0,16,0,,,,,
73,0,16,0,,,,,
74,0,16,0,,,,,
75,0,16,0,,,,,
76,0,16,0,,,,,
77,0,16,0,,,,,
78,0,16,0,,,,,
79,0,17,0,,,,,
80,0,12,0,,,,,
81,0,12,0,,,,,
82,0,12,0,,,,,
83,0,12,0,,,,,
84,0,12,0,,,,,
85,0,12,0,,,,,
86,0,12,0,,,,,
87,0,12,0,,,,,
88,0,12,0,,,,,
89,0,12,0,,,,,
90,0,11,0,,,,,
91,0,11,0,,,,,
92,0,11,0,,,,,
93,0,10,0,,,,,
94,0,10,0,,,,,
95,0,10,0,,,,,
96,0,10,0,,,,,
97,0,10,0,,,,,
98,0,10,0,,,,,
99,0,10,0,,,,,
100,0,10,0,,,,,
101,0,10,0,,,,,
102,0,10,0,,,,,
103,0,10,0,,,,,
104,0,10,0,,,,,
105,0,10,0,,,,,
106,0,10,0,,,,,
107,0,10,0,,,,,
108,0,10,0,,,,,
109,0,10,0,,,,,
110,0,9,0,,,,,
111,0,8,0,,,,,
112,0,8,0,,,,,
113,0,8,0,,,,,
114,0,8,0,,,,,
115,0,8,0,,,,,
116,0,8,0,,,,,
117,0,8,0,,,,,
118,0,8,0,,,,,
119,0,8,0,,,,,
120,0,8,0,,,,,
121,0,8,0,,,,,
122,0,8,0,,,,,
123,0,8,0,,,,,
124,0,8,0,,,,,
125,0,7,0,,,,,
126,0,7,0,,,,,
127,0,7,0,,,,,
128,0,7,0,,,,,
129,0,7,0,,,,,
130,0,7,0,,,,,
131,0,7,0,,,,,
132,0,6,0,,,,,
133,0,5,0,,,,,
134,0,5,0,,,,,
135,0,5,0,,,,,
136,0,5,0,,,,,
137,0,5,0,,,,,
138,0,5,0,,,,,
139,0,4,0,,,,,
140,0,4,0,,,,,
141,0,4,0,,,,,
142,0,4,0,,,,,
143,0,4,0,,,,,
144,0,3,0,,,,,
145,0,3,0,,,,,
146,0,3,0,,,,,
147,0,3,0,,,,,
148,0,3,0,,,,,
149,0,3,0,,,,,
150,0,3,0,,,,,
