Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,3,4,8
2,3,4,7
3,3,4,7
4,3,4,7
5,3,4,7
6,3,4,8
7,3,4,8
8,3,4,8
9,3,4,9
10,3,4,10
11,3,4,10
12,3,4,10
13,3,4,8
14,3,4,8
15,4,4,7
16,4,4,7
17,4,5,7
18,4,5,7
19,4,5,6
20,4,5,6
21,4,4,6
22,4,4,6
23,4,4,4
24,4,4,3
25,4,4,2
26,4,4,2
27,4,4,2
28,4,4,1
29,4,4,1
30,4,4,1
31,5,4,1
32,5,4,1
33,5,4,0
34,5,4,0
35,5,4,0
36,5,4,0
37,5,4,0
38,5,4,0
39,5,4,0
40,5,4,0
41,5,4,0
42,5,4,0
43,5,4,0
44,5,4,0
45,5,4,0
46,5,4,0
47,5,4,0
48,5,4,0
49,5,4,0
50,5,4,0
51,5,4,0
52,5,4,0
53,5,4,0
54,5,4,0
55,5,4,0
56,5,4,0
57,5,4,0
58,5,4,0
59,5,4,0
60,5,4,0
61,5,4,0
62,5,4,0
63,5,4,0
64,5,4,0
65,5,4,0
66,5,3,0
67,5,3,0
68,5,3,0
69,5,3,0
70,5,3,0
71,5,3,0
72,5,3,0
73,5,3,0
74,5,3,0
75,5,3,0
76,5,3,0
77,5,3,0
78,5,3,0
79,5,3,0
80,5,3,0
81,5,3,0
82,5,3,0
83,5,3,0
84,5,2,0
85,5,2,0
86,5,2,0
87,5,2,0
88,5,2,0
89,5,2,0
90,5,2,0
91,5,2,0
92,5,1,0
93,5,1,0
94,5,1,0
95,5,1,0
96,5,1,0
97,5,1,0
98,5,1,0
99,5,1,0
100,5,1,0
101,5,1,0
102,5,1,0
103,5,1,0
104,5,1,0
105,3,0,0
106,3,0,0
107,2,0,0
108,2,0,0
109,2,0,0
110,2,0,0
111,2,0,0
112,1,0,0
113,1,0,0
114,1,0,0
115,1,0,0
116,1,0,0
117,1,0,0
118,1,0,0
119,1,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
