Inputs,Simulation Time: 200,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0
 ,life span: ,100,60,50
 ,Breeding Cooldown,1000,600,100
 , Mating Threshold,80,85,95
 ,Hunger Threshold,70,70,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,15
2,4,4,15
3,4,4,16
4,4,4,18
5,4,4,18
6,4,4,19
7,4,4,20
8,4,4,19
9,4,4,21
10,4,4,22
11,4,4,26
12,4,4,26
13,4,4,27
14,4,4,28
15,4,4,30
16,4,4,31
17,4,4,33
18,4,4,34
19,4,4,35
20,4,4,38
21,4,4,40
22,4,4,40
23,4,4,43
24,4,4,46
25,4,4,46
26,5,4,48
27,5,4,49
28,5,4,52
29,5,4,49
30,5,4,50
31,5,4,50
32,5,4,48
33,5,4,48
34,5,4,46
35,6,4,47
36,6,4,47
37,6,4,45
38,6,4,40
39,6,4,36
40,6,4,35
41,6,4,35
42,6,4,36
43,6,4,35
44,6,4,36
45,6,4,37
46,6,4,37
47,6,4,36
48,6,4,35
49,6,4,31
50,6,4,28
51,6,4,30
52,6,4,31
53,6,4,25
54,6,4,23
55,6,4,21
56,7,4,20
57,7,4,20
58,7,4,17
59,7,4,13
60,7,0,10
61,7,0,10
62,8,0,10
63,8,0,10
64,8,0,9
65,8,0,9
66,8,0,8
67,8,0,7
68,8,0,8
69,8,0,8
70,8,0,6
71,8,0,6
72,8,0,7
73,8,0,6
74,8,0,6
75,8,0,5
76,8,0,5
77,8,0,5
78,8,0,4
79,8,0,3
80,8,0,2
81,8,0,2
82,8,0,2
83,8,0,2
84,8,0,2
85,8,0,2
86,8,0,2
87,8,0,1
88,7,0,1
89,7,0,1
90,6,0,1
91,6,0,1
92,5,0,1
93,5,0,1
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,1,0,0
99,1,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
