Inputs,Simulation Time: 150,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50
 ,Breeding Cooldown,1000,600,100
 , Mating Threshold,80,85,95
 ,Hunger Threshold,70,70,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,15
2,4,4,15
3,4,4,14
4,4,4,14
5,4,4,14
6,4,4,13
7,4,4,13
8,4,4,14
9,4,4,13
10,1,4,13
11,1,4,13
12,1,4,12
13,1,4,12
14,1,4,12
15,1,4,12
16,1,4,12
17,1,5,12
18,1,5,15
19,0,5,14
20,0,5,14
21,0,5,13
22,0,5,13
23,0,5,13
24,0,5,13
25,0,5,11
26,0,5,11
27,0,5,11
28,0,5,11
29,0,5,12
30,0,5,11
31,0,5,8
32,0,5,7
33,0,5,6
34,0,5,6
35,0,5,7
36,0,5,6
37,0,5,5
38,0,5,5
39,0,5,5
40,0,5,4
41,0,5,4
42,0,5,3
43,0,5,3
44,0,6,3
45,0,6,3
46,0,6,3
47,0,6,3
48,0,6,3
49,0,6,3
50,0,5,1
51,0,5,1
52,0,5,1
53,0,4,1
54,0,4,1
55,0,4,1
56,0,4,1
57,0,4,1
58,0,4,1
59,0,4,1
60,0,2,0
61,0,2,0
62,0,2,0
63,0,2,0
64,0,2,0
65,0,2,0
66,0,2,0
67,0,2,0
68,0,2,0
69,0,2,0
70,0,2,0
71,0,2,0
72,0,2,0
73,0,2,0
74,0,2,0
75,0,2,0
76,0,2,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,1,0
92,0,1,0
93,0,1,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
