Inputs,Map used: map.txt,Simulation Time: 200,neighbourhood_option: 0,Lions: 4,Wolves: 4,Rabbits: 15,distance of interaction: 2.0,Grass grow time(ticks): 500000
 ,life span: ,100,60,50
 ,Breeding Cooldown,1000,600,100
 , Mating Threshold,80,85,95
 ,Hunger Threshold,70,70,80
 ,Thirst Threshold,80,80,80
Iterations,Number of Lions,Number of Wolves,Number of Rabbits
1,4,4,16
2,4,4,16
3,4,4,17
4,4,4,17
5,4,4,16
6,4,4,17
7,4,4,17
8,4,4,18
9,4,4,20
10,4,4,19
11,4,4,19
12,4,4,20
13,4,4,21
14,4,4,20
15,4,3,18
16,4,3,18
17,4,3,19
18,4,4,19
19,4,4,19
20,4,2,18
21,4,2,18
22,4,2,19
23,4,2,20
24,4,2,19
25,4,1,19
26,4,1,19
27,4,1,19
28,4,1,19
29,5,0,18
30,6,0,19
31,6,0,18
32,6,0,17
33,6,0,16
34,6,0,15
35,6,0,15
36,6,0,14
37,6,0,14
38,6,0,14
39,6,0,14
40,6,0,13
41,6,0,14
42,6,0,13
43,6,0,13
44,6,0,14
45,6,0,12
46,6,0,12
47,6,0,11
48,6,0,12
49,6,0,10
50,6,0,6
51,6,0,6
52,6,0,6
53,6,0,5
54,6,0,5
55,6,0,5
56,6,0,4
57,6,0,4
58,6,0,3
59,6,0,2
60,6,0,1
61,6,0,1
62,6,0,0
63,5,0,0
64,4,0,0
65,3,0,0
66,3,0,0
67,3,0,0
68,3,0,0
69,3,0,0
70,3,0,0
71,3,0,0
72,3,0,0
73,3,0,0
74,2,0,0
75,2,0,0
76,2,0,0
77,2,0,0
78,2,0,0
79,1,0,0
80,1,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
